ad_id,image,title,description,plz,district,posted_at
1595756748,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/N-4AAOSwaQdfzReq/$_2.JPG,Kommode für TV,"Biete hier eine sehr stabil gebaute Kommode an, die ideal ist, um z.B. ein TV bzw. Fernseher darauf...",10315,Lichtenberg,"Heute, 18:41"
1595755197,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/2kwAAOSw5StfzRcQ/$_2.JPG,Sony Diktiergerät,"Sollte noch funktionieren, aber lange nicht genutzt. Enthält noch Batterien aber keine Kassette.",10315,Lichtenberg,"Heute, 18:40"
1595754991,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/pfgAAOSw8GZfzRb5/$_2.JPG,Druckerpatronen,"Ink Cartridge
Schwarz und gelb

Nur an selbstabholer",10315,Lichtenberg,"Heute, 18:40"
1595753581,https://i.ebayimg.com/00/s/MTMxNFgxMjAw/z/odsAAOSwpE5fzRbn/$_2.JPG,Verschenke verschiedene Jungen Kleidung,"Verschenke verschiedene Jungen Klamotten grösse 98-110
(Sind mehr als auf dem Bild)",10315,Lichtenberg,"Heute, 18:39"
1595753308,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/KbcAAOSw8FVfzRam/$_2.JPG,Dach über dem Kopf und zur Ruhe kommen,Biete Unterkunft/Über​nachtungsmöglichkeit​ (kostenlos) für eine deutschsprachige Obdachlose...,10315,Lichtenberg,"Heute, 18:38"
1595752963,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/UZQAAOSwjkhfzRbR/$_2.JPG,Verschiedene Kosmetika,Ich verschenke verschiedene Kosmetika. Alles ist offen und etwas gebraucht. Bitte nehmen Sie alles...,10315,Lichtenberg,"Heute, 18:38"
1595752898,https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/KDwAAOSw-gJfzRZt/$_2.JPG,Fahrradhelm Gr 61-65,"Fahrradhelm Abus Urban-I mit Rücklicht ohne Sonnenschutz, Gebrauchsspuren, s. anbei. Größe 61-65",10315,Lichtenberg,"Heute, 18:38"
1595752755,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/Th8AAOSwQ3FfzRbp/$_2.JPG,Ikea Kinder Kleiderstange,Alles im super Zustand :) für Selbstabholer,10315,Lichtenberg,"Heute, 18:38"
1595752230,https://i.ebayimg.com/00/s/MTYwMFg5MDA=/z/v8sAAOSwxp1fzRaS/$_2.JPG,Schlüsselbänder Schlüsselband Schlüsselanhänger,"Ich biete hier nach Umzug einiges an.
Hier diverse Schlüsselbänder.
Zustand sehr gut, aber wir...",10315,Lichtenberg,"Heute, 18:38"
1595752142,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/cl0AAOSwEUBfzRbt/$_2.JPG,Tisch und 2 Stühle,"Tisch und zwei Stühle zu verschenken.

Nur Abholung in Berlin Mitte.",10315,Lichtenberg,"Heute, 18:38"
1595751905,https://i.ebayimg.com/00/s/MTU5OVg4OTk=/z/-OIAAOSw0PtfzRZd/$_2.JPG,Ikea Matratze 160×200cm mit Wasserfleck,"Einwandfreie Matratze, der Bezug kam nach der Reinigung diesen Sommer leider mit einem Riesenfleck...",10315,Lichtenberg,"Heute, 18:37"
1595750769,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/faIAAOSw~rpfzRYz/$_2.JPG,Pulverbeize Mahagoni beize,Habe diese pulverbeize besorgt und dann beim ersten Pinselstrich leider bemerkt das der Farbton mir...,10315,Lichtenberg,"Heute, 18:37"
1595748601,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/8wcAAOSwOo5fzRVD/$_2.JPG,"ZU VERSCHENKEN: Regal, Sideboard","Dieses kleine Regal hat mir viele Jahre gute Dienste getan und ist an den Kanten etwas abgestoßen,...",10315,Lichtenberg,"Heute, 18:35"
1595748561,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/ZEwAAOSwMz5fzRXk/$_2.JPG,"Arbeitsplatten 100x61x2,5 Eiche massiv unbehandelt","Zwei Arbeitsplattenreste zu verschenken.
Jeweils 100x61x2,5cm
Woche massiv unbehandelt

Abzuholen...",10315,Lichtenberg,"Heute, 18:35"
1595748326,,Wohnung zum tauschen,"Hallo, ich möchte unserem Wohnung in 10315 mit ein größere Wohnung wechseln. Unsere Wohnung hat ein...",10315,Lichtenberg,"Heute, 18:35"
1595747734,https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/wbYAAOSwvrFfzRVr/$_2.JPG,Blaues Sofa zu verschenken,"Ich werde dieses Sofa los, weil ich ein neues bekommen habe.
Sie können es als Couch oder...",10315,Lichtenberg,"Heute, 18:34"
1595747399,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/048AAOSw2lNfzRYB/$_2.JPG,VERSCHENKE  3 TASCHEN,"VERSCHENKE 3 TASCHEN NEUWERTIG
KEIN VERSAND",10315,Lichtenberg,"Heute, 18:34"
1595762836,,PS5 verlosen,"Ein Kumpel der verlost

Geht auf YouTube unter Chrisverbot und mit bissel Glück habt ihr eine musst...",10407,Prenzlauer Berg,"Heute, 18:45"
1595761886,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/-XIAAOSwlvpfzRgu/$_2.JPG,Verschenke Kinogetränkeaufsätze,"Getränkeaufsätze aus dem Kino: Legolas, Drache Smaug und Minion",10407,Prenzlauer Berg,"Heute, 18:45"
1595761807,https://i.ebayimg.com/00/s/MTYwMFg5MDA=/z/PqsAAOSwtM1fzRiX/$_2.JPG,Kühlschrank Gefrierschrank zu verschenken,"Aufgrund von Neuanschaffungen verschenke ich meine kühl/gefrierkom​bi

Funktioniert...",10407,Prenzlauer Berg,"Heute, 18:45"
1595761760,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/2TsAAOSw97lfzRh5/$_2.JPG,Eckregal zu verschenken!,Mit großem Innenraum und Ablage.,10407,Prenzlauer Berg,"Heute, 18:45"
1595760670,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/aFYAAOSw0Z1fzRhZ/$_2.JPG,Laminat Sockelleisten,"Sockelleiste
3x 250
1x 0,90
Taek Champagner
Siehe Fotos",10407,Prenzlauer Berg,"Heute, 18:44"
1595760154,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/ux8AAOSwgmBfzRXp/$_2.JPG,Runder Esstisch zu verschenken,"Runder Esstisch an Selbstabholer zu verschenken.

Der Tisch ist aus den 70er Jahren, ausziehbar,...",10407,Prenzlauer Berg,"Heute, 18:43"
1595759573,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/HE8AAOSwuklfzRgZ/$_2.JPG,Kleines Stativ,"Wenig gebraucht, wie neu",10407,Prenzlauer Berg,"Heute, 18:43"
1595759263,https://i.ebayimg.com/00/s/NzgxWDExMjc=/z/OdYAAOSwIqlfzRf7/$_2.JPG,Deutschland Germany Trikot t Shirt gr 140,Abholung in Berlin Mitte,10407,Prenzlauer Berg,"Heute, 18:43"
1595758691,https://i.ebayimg.com/00/s/NzIxWDE2MDA=/z/bGMAAOSwqHNfzRgb/$_2.JPG,"Schrankwand, Wohnzimmerschrank, Bestehend aus zwei Schränken","Schrankwand, Wohnzimmerschrank, Bestehend aus zwei Schränken. Auch einzeln abzugeben.",10407,Prenzlauer Berg,"Heute, 18:42"
1595758180,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/Qd4AAOSwwiFfzRc2/$_2.JPG,Kontaktlinsen Bausch& Lomb,Hier Kontaktlinsen abzugeben da ich sie nicht mehr Vertrage.Mein Kater würde sich über ein paar...,10407,Prenzlauer Berg,"Heute, 18:42"
1595757956,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/lsIAAOSwKcZfzRet/$_2.JPG,Rotfilter Kamera,Passt z. B. auf Canon A1,10407,Prenzlauer Berg,"Heute, 18:42"
